,X,X,X,X,X,X,X,X,X,X,X,X,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Magnitude,Magnitude,Magnitude,Magnitude,Magnitude,Magnitude,Magnitude,Magnitude,Magnitude,Magnitude,Magnitude,Magnitude,MODE
ACC-GPS,MEAN,STD,VAR,MIN,MAX,ACF-MEAN,ACF-STD,ACV-MEAN,ACV-STD,SKEW,KURTOSIS,STD-ERR,MEAN,STD,VAR,MIN,MAX,ACF-MEAN,ACF-STD,ACV-MEAN,ACV-STD,SKEW,KURTOSIS,STD-ERR,MEAN,STD,VAR,MIN,MAX,ACF-MEAN,ACF-STD,ACV-MEAN,ACV-STD,SKEW,KURTOSIS,STD-ERR,MEAN,STD,VAR,MIN,MAX,ACF-MEAN,ACF-STD,ACV-MEAN,ACV-STD,SKEW,KURTOSIS,STD-ERR,
1.0,0.00116791095151394,3.2064982905790415e-06,1.0281631287486317e-11,0.0011656436148288086,0.0011701782881990716,0.25,0.75,1.2852039109357896e-12,3.855611732807369e-12,1.4348690094807006e-13,-2.0,2.267336685131513e-06,0.4514556508571706,0.0007711789745707429,5.947170108199825e-07,0.45091034497474314,0.45200095673959806,0.25,0.75,7.433962635249781e-08,2.2301887905749342e-07,0.0,-2.0,0.0005453058824274604,0.36049727416431154,0.0034618050091128434,1.1984093921118772e-05,0.35804940836722227,0.36294513996140076,0.25,0.75,1.4980117401398467e-06,4.49403522041954e-06,-3.400594487845378e-14,-2.0,0.0024478657970892492,0.5777343073701617,0.0015574882903748902,2.4257697746548983e-06,0.576632996838419,0.5788356179019044,0.25000000000000006,0.75,3.0322122183186234e-07,9.096636654955869e-07,-1.5117613089004772e-13,-2.0,0.0011013105317427274,1.0
1.0,0.02430357155766491,4.179899557362011e-05,1.7471560309635133e-09,0.024274015204448017,0.024333127910881804,0.25,0.75,2.1839450387043916e-10,6.551835116113175e-10,0.0,-2.0,2.955635321689326e-05,-2.089611335624528,0.0030847158982829715,9.515472173119718e-06,-2.091792559154238,-2.087430112094818,0.24999999999999994,0.75,1.1894340216399646e-06,3.568302064919895e-06,-3.0535988053402434e-13,-1.9999999999999998,0.0021812235297098415,-0.08424129065422047,0.0020042029000126977,4.016829264419307e-06,-0.08565847611569319,-0.08282410519274774,0.25,0.75,5.021036580524134e-07,1.5063109741572403e-06,0.0,-2.0,0.0014171854614727225,2.091450347645795,0.003163216291312084,1.0005937305622176e-05,2.089213615955848,2.093687079335741,0.25,0.75,1.250742163202772e-06,3.752226489608316e-06,-2.9782142801418764e-13,-2.0,0.002236731689946536,1.0
1.0,-0.012407443545470003,5.244915061018447e-05,2.7509133997298145e-09,-0.01244453069553394,-0.012370356395406068,0.25,0.75,3.4386417496622686e-10,1.0315925248986804e-09,-7.020788687592342e-14,-2.0,3.708715006393599e-05,-0.47138691670591354,0.004751013325480451,2.2572127618892816e-05,-0.4747463904458684,-0.46802744296595866,0.25,0.75,2.821515952361602e-06,8.464547857084806e-06,0.0,-2.0,0.003359473739954877,0.04098637012318773,0.013665019772813886,0.00018673276539139447,0.031323741976782775,0.05064899826959268,0.25,0.75,2.334159567392431e-05,7.002478702177293e-05,-1.0562507398271945e-15,-2.0,0.009662628146404954,0.47343194770033425,0.003548845261951757,1.2594302693277434e-05,0.4709225351502264,0.4759413602504421,0.25,0.75,1.5742878366596792e-06,4.722863509979038e-06,0.0,-2.0,0.002509412550107837,1.0
1.0,0.018716530060260236,4.00812286322361e-06,1.606504888669583e-11,0.01871369588940382,0.01871936423111665,0.24999999999999994,0.75,2.0081311108369785e-12,6.024393332510937e-12,-1.8362600989590798e-12,-1.9999999999999998,2.8341708564142555e-06,1.435538016537867,0.004792326484832502,2.296639313722704e-05,1.432149329982782,1.438926703092952,0.25,0.75,2.87079914215338e-06,8.612397426460141e-06,0.0,-2.0,0.003388686555084952,0.035575298361200956,0.00018220026363752062,3.3196936069582025e-08,0.03544646331924889,0.035704133403153024,0.25,0.75,4.149617008697753e-09,1.244885102609326e-08,0.0,-2.0,0.00012883504195206757,1.4361007465501636,0.004785987377668846,2.290567517920552e-05,1.4327165424207409,1.4394849506795866,0.25,0.75,2.86320939740069e-06,8.589628192202069e-06,9.842830182497487e-14,-2.0,0.003384204129422863,1.0
1.0,0.01799535504176806,1.2940510958407656e-05,1.6745682386466864e-10,0.01798620471871735,0.01800450536481877,0.24999999999999994,0.75,2.0932102983083576e-11,6.279630894925074e-11,5.688192740481974e-13,-1.9999999999999998,9.150323050708883e-06,1.1818928803687518,0.0007436368683361211,5.529957919487536e-07,1.181367049696411,1.1824187110410926,0.25,0.75,6.91244739935942e-08,2.0737342198078258e-07,0.0,-2.0,0.0005258306723407991,0.23565611851275953,0.0021864031636502084,4.7803587940196395e-06,0.23411009800933474,0.2372021390161843,0.25,0.75,5.975448492524549e-07,1.7926345477573648e-06,0.0,-2.0,0.0015460205034247831,1.2052926687094212,0.0011568736030709579,1.33835653348238e-06,1.204474635539714,1.2061107018791284,0.25,0.75,1.672945666852975e-07,5.018837000558925e-07,0.0,-2.0,0.0008180331697071885,0.0
0.0,-1.043031576298422,0.1138546030261091,0.01296287063023289,-1.123538938167486,-0.9625242144293578,0.25,0.75,0.0016203588287791112,0.004861076486337334,0.0,-2.0,0.08050736186906415,-0.5458634866832037,0.7939449972890475,0.6303486587203057,-1.1072673781554243,0.015540404789016903,0.25,0.75,0.0787935823400382,0.23638074702011463,0.0,-2.0,0.5614038914722206,0.8878004292198441,0.44758246894064363,0.20033006650300222,0.5713118302916977,1.2042890281479905,0.25,0.75,0.025041258312875278,0.07512377493862583,0.0,-2.0,0.3164885989281464,1.5793263895628518,0.45082229432358795,0.20324074105918377,1.2605468881365651,1.8981058909891384,0.25,0.75,0.02540509263239797,0.07621527789719391,0.0,-2.0,0.31877950142628664,1.0
1.0,0.0177454621485425,9.504977075644562e-06,9.034458920852865e-11,0.01773874111479729,0.01775218318228771,0.25,0.75,1.1293073651066082e-11,3.3879220953198243e-11,-7.742985926422475e-13,-2.0,6.72103374521095e-06,0.9947263738305698,0.001583671108493536,2.5080141798771452e-06,0.9936065492505849,0.9958461984105549,0.25,0.75,3.1350177248464315e-07,9.405053174539295e-07,1.4866087714377843e-13,-1.9999999999999998,0.001119824579984996,0.46369414276791643,0.007288010545500746,5.311509771133009e-05,0.4585407410898338,0.4688475444459991,0.25,0.75,6.639387213916261e-06,1.9918161641748785e-05,0.0,-2.0,0.0051534016780826475,1.0976493881990037,0.001643438909064157,2.7008914478259866e-06,1.0964873014019385,1.0988114749960687,0.25,0.75,3.376114309782483e-07,1.012834292934745e-06,-2.8660510105012707e-13,-2.0,0.0011620867970650872,0.0
1.0,0.025691586490516286,0.0,0.0,0.025691586490516286,0.025691586490516286,0.25,0.75,0.0,0.0,0.0,-3.0,0.0,-2.1330313165128145,6.885526558682908e-05,4.741047599032768e-09,-2.1330800045380314,-2.1329826284875977,0.25,0.75,5.92630949879096e-10,1.777892849637288e-09,0.0,-2.0,4.8688025216847564e-05,-0.19078787034857908,0.002915204218200291,8.49841563381277e-06,-0.19284923101981213,-0.18872650967734603,0.25,0.75,1.0623019542265962e-06,3.1869058626797886e-06,0.0,-2.0,0.0020613606712330534,2.1417018616069665,0.0003282698002126375,1.0776106173164494e-07,2.1414697398051774,2.1419339834087556,0.25,0.75,1.3470132716455617e-08,4.041039814936685e-08,0.0,-2.0,0.00023212180178910913,1.0
0.0,0.030399915289099733,0.037951534342036346,0.0014403189589147643,0.003564127999411693,0.057235702578787774,0.25,0.75,0.00018003986986434554,0.0005401196095930366,0.0,-2.0,0.02683578728968804,0.11950408839498368,0.1470268513498236,0.021616895017843127,0.015540404789016903,0.22346777200095044,0.25,0.75,0.002702111877230391,0.008106335631691173,-1.9297244176696351e-16,-2.0,0.10396368360596676,-0.2594707418946865,0.055947808617580454,0.0031301572891094098,-0.2990318167607048,-0.21990966702866818,0.25,0.75,0.0003912696611386762,0.0011738089834160287,9.84982584124778e-16,-2.0,0.0395610748660183,0.30054521768290865,0.10292429890891865,0.010593411305892433,0.2277667479755411,0.3733236873902762,0.25,0.75,0.0013241764132365542,0.0039725292397096625,5.625116354295224e-16,-2.0,0.07277846970736755,0.0
1.0,0.01765501161006779,1.374213553105238e-05,1.8884628895381225e-10,0.017645294452845798,0.01766472876728978,0.25,0.75,2.360578611922653e-11,7.08173583576796e-11,0.0,-2.0,9.717157221991735e-06,1.1279854988487803,0.0003029631685813885,9.178668151687482e-08,1.1277712715378265,1.1281997261597339,0.25,0.75,1.1473335189609353e-08,3.442000556882806e-08,-1.5547689911024458e-12,-2.0,0.00021422731095366299,0.3172087000684173,0.009656613972788487,9.325019341945382e-05,0.3103804428449578,0.3240369572918768,0.25,0.75,1.1656274177431728e-05,3.4968822532295186e-05,1.2221880737323006e-14,-2.0,0.006828257223459505,1.1718909162500717,0.0023220431605280173,5.391884439354944e-06,1.1702489837850545,1.173532848715089,0.25,0.75,6.73985554919368e-07,2.021956664758104e-06,0.0,-2.0,0.001641932465017204,0.0
